Date,Open,High,Low,Close,Volume,Ticker
03/08/2015,"114,6","114,6","111,78","112,56",10144800,NFLX_10y_ind.csv
04/08/2015,"113,15","122,79",113,"121,15",29653300,NFLX_10y_ind.csv
05/08/2015,"125,62","129,29","122,71","123,71",26946500,NFLX_10y_ind.csv
06/08/2015,"126,29","128,85","122,04","126,45",24716700,NFLX_10y_ind.csv
07/08/2015,"126,42","126,6","121,3","123,52",17360700,NFLX_10y_ind.csv
10/08/2015,"126,09","126,5","121,51","123,03",13424600,NFLX_10y_ind.csv
11/08/2015,"120,01","123,76",120,"122,74",11596800,NFLX_10y_ind.csv
12/08/2015,"121,47","122,45","118,66","120,51",13822500,NFLX_10y_ind.csv
13/08/2015,"120,99","125,73","119,34","123,73",15284400,NFLX_10y_ind.csv
14/08/2015,"124,96",125,123,"123,39",8667700,NFLX_10y_ind.csv
17/08/2015,"123,14","125,7","122,59","125,36",9233800,NFLX_10y_ind.csv
18/08/2015,"125,26","126,75","123,55","124,05",9382000,NFLX_10y_ind.csv
19/08/2015,"123,5","123,7","121,5","122,06",10115300,NFLX_10y_ind.csv
20/08/2015,"119,8","121,45","111,34","112,49",28045300,NFLX_10y_ind.csv
21/08/2015,"106,2",110,"102,75","103,96",33228300,NFLX_10y_ind.csv
24/08/2015,"88,75","109,63","85,5","96,88",59951900,NFLX_10y_ind.csv
25/08/2015,"107,75","107,88","101,5","101,52",37620700,NFLX_10y_ind.csv
26/08/2015,"107,15","110,28","102,02","110,13",36164600,NFLX_10y_ind.csv
27/08/2015,"114,94","118,25","113,02","117,66",37056100,NFLX_10y_ind.csv
28/08/2015,"116,35","119,35","115,88","117,63",20240200,NFLX_10y_ind.csv
31/08/2015,"115,24",117,"113,76","115,03",17005600,NFLX_10y_ind.csv
01/09/2015,"109,35","111,24","103,82","105,79",35977100,NFLX_10y_ind.csv
02/09/2015,"109,31","109,5","100,3","105,44",39843300,NFLX_10y_ind.csv
03/09/2015,"102,69","104,17","100,11","101,06",29546700,NFLX_10y_ind.csv
04/09/2015,"98,05","99,93","97,34","98,79",24212000,NFLX_10y_ind.csv
08/09/2015,"102,08","102,5","93,55","94,95",43479700,NFLX_10y_ind.csv
09/09/2015,"96,51","102,79","95,52","99,18",35524400,NFLX_10y_ind.csv
10/09/2015,"99,42","100,85","96,78","99,48",21031900,NFLX_10y_ind.csv
11/09/2015,"98,57","100,85","97,23","97,51",17373900,NFLX_10y_ind.csv
14/09/2015,"96,84","97,91","94,33","95,69",15546000,NFLX_10y_ind.csv
